Name,Appearance,Aroma,Taste,Palate,Total,Type,Brewery,Pros,Cons,Conclusion,Alcohol,IBU,Size,Date Reviewed,Reviewer,Categories,Tags,Review Text,URL
Hop Hash Double IPA,3.8,4.6,4.7,4.2,,Imperial India Pale Ale,Powell Brewery,Amazing fruit character on the nose and in the flavour,Fruit character is almost too intense,A massive hop flavour of tropical fruit in a dank and delicious double IPA,8.0%,,650,2017-Apr-01,dustansept,"8.0% - 8.9%, ABV, Brewery Regions, Double/Imperial IPA, Greater Vancouver Breweries, Idaho 7 Hops, IPA, Powell Street Brewing Co., Top BC Beers, Types Of Beer, Types of Hops","double ipa, hop hash, powell brewery","Hop Hash is the concentrated hop residue that is left behind when pelletizing the hops. The result is an extremely potent hop concentrate that has huge flavour potential. Powell Brewery has used Idaho 7 Hop Hash to make a Double IPA. Coming in a 650ml bottle the beer pours golden in colour with a thick finger s worth of lacing head. The aroma is rich with notes of melon, passion fruit and mango in a dank and tropical manner. The beer s flavour is just as intense with a fruit salad like kick of that same mango, passion fruit and melon. The bitterness is quite mellow  and there is not even a hint of booziness to the beer. Hop Hash is something new but if other beers are even half as good as this then it is bound to stick. This is a delicious, fruit forward Double IPA that has truly unique fruit-hop character.",http://beermebc.com/2017/04/01/powell-brewery-hop-hash-double-ipa/
Collaboration Best Case Ontario Farmhouse Ale,4.0,4.3,4.3,4.2,,"Farmhouse Ale, Saison",Four Winds Brewing,A very tasty and unique Farmhouse Ale,The yeast character takes over the beer,A unique beer with big and delicious tropical fruit yeast character,7.5%,20,750,2017-Mar-26,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, Four Winds Brewing Co., Greater Vancouver Breweries, Saison, Top BC Beers, Types Of Beer","farmhouse ale, four winds","Working with Nickel Brook, Great Lakes, Sawdust City and Escarpment Labs Four Winds has come up with the Best Case Ontario, a Farmhouse Ale that  uses Ontario Hops and  a BC brewing style. In 750ml bottles this beer is 7.5% alcohol and 20 IBUs. Popping the cork from this bottle conditioned beer, the Best Case Ontario is hazy and golden in colour with two fingers of head. The aroma is yeasty with notes of tropical fruit, clove, earth-tones and a light brett-like funk. The flavour has massive yeast character with that wild-yeast funk taking charge along with notes of citrus, melon and tropical fruit. This is not your typical Farmhouse Ale but then again the style isn t really typical in nature. The wild yeast plays first chair throughout the entire flavour with unique fruit and earthy-funk tones. Another winner from Four Winds!",http://beermebc.com/2017/03/26/four-winds-brewing-collaboration-best-case-ontario-farmhouse-ale/
Holy Moses Chocolate Porter,4.2,3.8,4.1,3.9,,Porter,Barkerville Brewing Co.,Nice bitter-sweet cocoa flavours,Quite light bodied. ,"A light bodied, big flavoured Chocolate Porter.",4.2%,,650,2017-Mar-22,dustansept,"4.0% - 4.9%, ABV, Barkerville Brewing Co., Brewery Regions, Cariboo Breweries, Porter, Top BC Beers, Types Of Beer","barkerville brewing, chocolate, Porter",Quesnel s Barkerville Brewing has released a Chocolate Porter called the Holy Moses. This beer is light at 4.2% and is sold in 650ml bottles. Pouring the beer its colour is a deep brown and has two full fingers of off-white head. The aroma is malty and rich with strong notes of chocolate and a touch of coffee on the nose. The body is light with a subtle creaminess to it while the cocoa adds a bitter-sweetness to the mix. Hops too add to the ensemble with a mellow lingering bitterness. The Holy Moses is light bodied but big flavoured with intense cocoa notes along side a very nice malt backbone. This is definitely a beer worth seeking out.,http://beermebc.com/2017/03/22/barkerville-brewing-co-holy-moses-chocolate-porter/
Twa Dogs   Drouthy Neibor IPA,4.0,4.2,4.3,3.9,,India Pale Ale,Victoria Caledonian,"A well balanced, well crafted West Coast style IPA",Nothing makes this beer really stand out,"A well crafted, traditional West Coast IPA",7.0%,,355,2017-Mar-10,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, IPA, Top BC Beers, Types Of Beer, Vancouver Island Breweries, Victoria Caledonian","ipa, twa Dogs, Victoria Caledonian","The Victoria Caledonian Brewery & Distillery s beer brand is called Twa Dogs and their IPA is named the Drouthy Neibor IPA. This beer comes in 355ml bottles and translated the beer s name means  The Thirsty Neighbour . Pouring this beer it is a slightly hazed golden colour with a finger and a half of head which leaves light lacing behind on the glass. Smelling the beer it is a balance of malt character and citrus-pine hop tones. The smell is crisp, fresh, a slight bit boozy and true of a classic West Coast IPA. Sipping the beer, fresh citrus notes come up front and lead into a light pine character. The hops are prominent but a lightly toasted malt character has a touch of sweetness that balances the hop bitterness and higher than typical alcohol levels. This beer may not stand out from a crows as being overly unique but it is true to style, well crafted and very tasty. The Drouthy Neibor is worth seeking out to give a try!",http://beermebc.com/2017/03/10/victoria-caledonian-twa-dogs-drouthy-neibor-ipa/
Bella Rosa Red Wheat Ale,4.1,4.0,4.3,3.8,,"Red Ale, Wheat Ale",Fuggles & Warlock and Moody Ales,A unique blend of flavours that come together quite nicely,A bit of a confused flavour profile,"A blend of styles, hops and yeasts that comes together into a tasty bit of organized chaos",6.5%,39,650,2017-Mar-08,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Fuggles & Warlock, Greater Vancouver Breweries, Moody Ales, Red Ale, Top BC Beers, Types Of Beer, Wheat Beer","fuggles & warlock, moody ales, wheat ale","Fuggles & Warlock Craftworks and Moody Ales have teamed up to brew a Red Wheat Ale called the Bella Rosa. In a very cleanly labelled bottle that is not really either brewery s style this beer looks rather refined and elegant in its simple look. Pouring the beer it is a rich amber colour with a finger or so of lightly lacing head. The aroma is not so much of wheat and more ot tropical hop character. From the aroma this comes across more as a pale ale or light IPA than a Red Wheat Ale. Brewed with a collection of tropical fruit inducing hops along with Juniper berries and two yeast strains gives this beer a very unique pine character with notes of mango, grapefruit and passion fruit on the nose. Tasting the beer is different as well. The Saison yeast comes through with a light wheat character while a toasted spiciness also builds in the tasting. Along side the tropical fruit character and pine notes build while being subdued by the toasted-spice. Finishing the flavour a bitterness builds at the back of the palate while both fruit and toasted notes linger behind. There is a ton going on in the flavour of this beer but that is also reflected in the ingredients. This beer may come across as a bit confused to some but also rather delicious.",http://beermebc.com/2017/03/08/fuggles-warlock-and-moody-ales-bella-rosa-red-wheat-ale/
Rye Cycle ESB,4.0,3.8,4.0,4.3,,Extra Special Bitter,Bridge Brewing Co.,Unique and big flavoured ESB with a nice body and rye spice,Quite sweet and high alcohol for an ESB,"Big bodied, big flavoured, big ABV in a non-traditional ESB",6.5%,44B,650,2017-Feb-28,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Bridge Brewing Co., ESB, Greater Vancouver Breweries, Top BC Beers, Types Of Beer","bridge brewing, ESB","You may ask yourself where the recycle reference comes from with the Rye Cycle ESB from Bridge Brewing. The name comes from the fact that bread was used in the brew which would have otherwise been wasted. From the bomber bottle this beer is dark amber in colour and has two fingers of lightly lacing head. The aroma is filled with rye spice, caramel sweetness, earthy hop character and a touch of toffee. The flavour too is quite rich with toffee and caramel notes coming through in some intensity. The rye character is also quite nice adding a spice to the mix. The bread seems to add a significant body to the beer and a unique grain character that is difficult to put your finger on. This is not your typical ESB, it is big bodied, high in alcohol, quite sweet and has a wallop of flavour.",http://beermebc.com/2017/02/28/bridge-brewing-co-rye-cycle-esb/
Barrel Aged Cardena Quad,3.8,4.2,4.2,4.3,,"Barrel Aged, Belgian Quad",Townsite Brewing,A rich and complex blend of dried fruit and bourbon barrel character,Quite sweet and very intense,A sweet and intense Belgian Quad with big bourbon-oak character.,10.5%,24,650,2017-Feb-26,dustansept,"10+%, ABV, Belgian, Brewery Regions, Greater Vancouver Breweries, Quad, Top BC Beers, Townsite Brewing Inc., Types Of Beer","barrel aged, belgian quad, townsite brewing","Townsite Brewing s Cardena is one of the better Belgian Quads to be on the craft beer market and they have released a second version of the beer that has been barrel aged. Coming in at 10.5% alcohol this beer is every bit as strong as the original brew. Pouring from the 500ml bottle the beer is a deep and cloudy chestnut-brown colour and has a thin finger s worth of very dense head. The aroma is intense with bourbon-oak character, vanilla tones, and dried fruit character including cherry, raisin and prune. The texture of this beer is low in carbonation and very creamy-smooth. With the low carbonation comes a sweetness that cuts into the boozy character. The bourbon oak character is quite intense masking much of the dried fruit character. Still raisin, and prune notes come through giving a rich sweetness to the beer. Barrel Aging has changed this beer significantly and made it an even more intense beer. It is still every bit as good as the original though.",http://beermebc.com/2017/02/26/townsite-brewing-barrel-aged-cardena-quad/
Goldilocks Belgian Golden Strong,4.1,4.2,4.2,4.5,,"Belgian, Golden Ale",Strange Fellows Brewing,A nice citrus and spice character in a suprisingly sessionable strong beer,Not as strong or intense as you may expect,"A smooth and flavourful, yet easy drinking Belgian Golden Ale",8.5%,,750,2017-Feb-22,dustansept,"8.0% - 8.9%, ABV, Belgian, Brewery Regions, Golden Ale, Greater Vancouver Breweries, Strange Fellows Brewing Co., Top BC Beers, Types Of Beer","belgian, golden ale, strange Fellows","In their limited release series, Strange Fellows Brewing has released a Belgian Golden Ale called Goldilocks. This beer comes in at 8.5% and pours golden in colour. Lightly clouded with two fingers of head this beer smells strongly of Belgian Yeast tones with an intense coriander, orange peel and wheat-like character. On the tongue this beer is light and fruity with those same notes coming through in the flavour. This is a big and strong beer but has a lighter than expected intensity. For being 8.5% this brew goes down smooth and the citrus character adds a sessionability to the mix. All-in-all this is a very well crafted and delicious Belgian Golden Strong Ale.",http://beermebc.com/2017/02/22/strange-fellows-brewing-goldilocks-belgian-golden-strong/
2016 Wooly Bugger Barley Wine,4.2,4.3,4.5,4.2,,Barley Wine,Howe Sound Brewing Co.,A nice burnt character to balance a smooth and flavourful Barley Wine,Burnt character is quite intense,"A well crafted barley wine with more toasted, lightly burnt character than similar beers",11%,75,650,2017-Feb-18,dustansept,"10+%, ABV, Barley Wine, Brewery Regions, Greater Vancouver Breweries, Howe Sound Brewing Co., Top BC Beers","barley wine, howe sound","A staple among the annually released Barley Wines is Howe Sound s Wooly Bugger. This beer is released each winter and comes in at 11% alcohol and 75 IBUs. Pouring from the bomber bottle it is rich and dark brown in colour topped with two fingers of head. The aroma is a touch boozy with notes of dried fruit, caramel, toffee and a touch of bitterness. Tasting the beer it is big bodied with a creamy, alcohol-rich character. The notes of lightly burnt caramel take charge on the palate with toffee notes and a slight, dried cherry character. It is no denying that this is an intense beer and the burnt bitter character gives balance to a sweetness that is bigger than some. As always the Wooly Bugger is a must hit on the Barley Wine circuit. Pick up a couple bottles while you can, one for this year and one to cellar for a rainy day.",http://beermebc.com/2017/02/18/howe-sound-brewing-co-2016-wooly-bugger-barley-wine/
Creme Brulee Vanilla Stout,4.0,3.8,4.2,4.3,,Stout,Saltspring Island Ales,"Unique flavours with a nice balance of sweetness, bitterness and burnt character",Burnt character is quite strong,A delicious and flavourful (dessert) twist on a milk stout,8.0%,,650,2017-Feb-04,dustansept,"8.0% - 8.9%, ABV, Brewery Regions, Saltspring Island Ales, Stout, Top BC Beers, Types Of Beer, Vancouver Island Breweries","saltspring island ales, stout","Saltspring Island Ales has brewed a flavoured stout made with organic vanilla beans to give a creme brulee style beer experience. From the bomber bottle this beer pours deep and dark, nearly black in colour and has three-plus fingers of head which crests the glass. The aroma is rich with caramel, chocolate and vanilla tones with a lightly toasted/burnt character to it. Tasting the beer a creamy texture hits the tongue and leads into a toasty, vanilla-caramel flavour experience. The toasted notes have a burnt character to them and the vanilla adds sweetness and body to the mix. A mild coffee character also lingers in the mix leading into a fairly bitter finish for the style. This is a big-flavoured stout but one that is quite delicious and best enjoyed with friends.",http://beermebc.com/2017/02/04/saltspring-island-ales-creme-brulee-vanilla-stout/
Blodberg Nordic Saison,4.0,3.8,4.2,3.9,,Saison,Four Winds Brewing Co.,A subtle twist of flavour on a dark Saison,Lighter in flavour than you may expect,A lighter than expected but very well flavoured Nordic Saison,5.5%,25,750,2017-Jan-25,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Four Winds Brewing Co., Greater Vancouver Breweries, Saison, Top BC Beers, Types Of Beer","four winds, nordic saison","Brewed with Plum and Arctic Thyme and aged in Foeders, Four Winds collaborated with Borg Brugghus, a brewery from Iceland to brew the Blodberg Nordic Saison. From the corked, 750ml bottle this beer is a hazy amber colour and has two fingers of lacing, dense head atop the glass. From the beer comes an aroma of wheaty, saison yeast, a subtle richness from the plum addition and a lemon-spice from the Arctic Thyme. Tasting the beer it is unique with a subtleness to the flavour. The Plum is very light but adds a dried fruit, earthy character to the beer while the Thyme contributes a light and citrus spice. Given the name, ingredients and overall impression of the beer this is surprisingly light and easy drinking. At 5.5% alcohol the Blodberg is flavourful, sessionable and very enjoyable with a unique and subtle twist on the Saison style.",http://beermebc.com/2017/01/25/four-winds-brewing-co-blodberg-nordic-saison/
Kindling Breakfast Stout,4.0,4.3,3.9,4.2,,Stout,Cannery Brewing Co.,Strong coffee flavour in a smooth and creamy Breakfast Stout,The coffee flavour is very intense,A big coffee flavour in a big and intense Breakfast Stout,8.0%,,650,2017-Jan-19,dustansept,"8.0% - 8.9%, ABV, Brewery Regions, Cannery Brewing Co., Okanagan Breweries, Stout, Top BC Beers, Types Of Beer","breakfast stout, cannery brewing","Penticton s Cannery Brewing has released a winter warmer called the Kindling. This Breakfast stout comes wrapped in gold from head to toe in a very sharp looking bottle. Pouring the beer it is very dark in colour appearing nearly black. Two fingers of head slowly builds as you pour the beer and leaves heavy lacing behind on the glass. The aroma from the Kindling is rich with coffee, chocolate and a hint of caramel in a rather intense fashion. The taste starts with a hit of coffee bitterness and builds into a creamy and lightly sweet character that balances the bitter coffee flavour. The mouthfeel is smooth and the flavour intense which masks the relatively high, 8.0% alcohol. For coffee stout fans this is a beer that is not to miss. The hit of coffee is massive but that leads into the rest of the beer that can hold its weight against the coffee tones.",http://beermebc.com/2017/01/19/cannery-brewing-co-kindling-breakfast-stout/
Rye Munich Dunkel,3.9,4.1,4.2,3.8,,Dunkel,Moody Ales & Doan s Craft Brewery,"Nice balance of mellow, Dunkel flavour",Mild for the style,A mellow and smooth Dunkel with light rye spice,5.5%,,650,2016-Dec-31,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Doan's Craft Brewing Co., Dunkel, Greater Vancouver Breweries, Moody Ales, Top BC Beers, Types Of Beer","doans, dunkel, moody ales","Moody Ales teamed up with Vancouver s Doan s Craft Brewing Co to brew a Rye Munich Dunkel and released it in bomber bottles. This German-styled beer pours from the bomber bottle a colour of deep copper and is topped with a finger and a half of dense, lightly lacing head. The aroma is a combination of caramel, rye spice and the distinct character of German, Munich Malt. Tasting the beer it is smooth and light on the tongue with a mild, toasted sweetness that comes along side the Munich malt flavour. The Rye character is subtle giving a light spice to the beer s flavour but remains light and simply an accent to the dunkel. Overall the flavour of this beer is light compared to many other Dunkels but remains a crisp, fresh and delicious German-styled brew.",http://beermebc.com/2016/12/31/moody-ales-doans-craft-brewery-rye-munich-dunkel/
British IPA,4.0,3.5,4.5,4.0,,IPA,Strathcona Beer Company,Malt forward IPA that leans more on the malt than the hops,Some of the hop aromas are subdued or muddled,A malty IPA that is a great take on the British IPA style,6.0%,60,650,2016-Dec-28,Nemanishen,"6.0% - 6.9%, ABV, Amarillo Hops, Brewery Regions, Cascade Hops, Columbus Hops, Fuggles Hops, Golding Hops, Greater Vancouver Breweries, IPA, Reviews, Strathcona Brewing Co., Top BC Beers, Types Of Beer, Types of Hops","ipa, review, strathcona brewing","Strathcona Beer Company in east Vancouver came out of the gate strongly with a third place for their British IPA at the BC Beer Awards this autumn.  The brewery began rolling out bomber bottles of their brews this winter and among them was their award winning beer.  The British IPA pours from the bomber bottle a clear copper colour with two fingers of dense off-white head that dissipates leaving no lacing.  The aroma is of caramel and bready malts, accompanied by grass, earth and herbal tones from the hops along with a lingering fruitiness.  This IPA is more malt-forward with flavours of bread and caramel with a grassy hop note, and hints of herbs and pepper.  In the mouth the bitterness builds.  The IPA has a medium body with a slightly creamy mouthfeel and is much more subtle than the more common west coast styles we re accustomed to, leaning instead more heavily on the malt than the hops.",http://beermebc.com/2016/12/28/strathcona-beer-company-british-ipa/
